ticket_id,specialist_id,investigation_started_at,solution_created_at,root_cause,solution_summary,specialist_notes,requires_follow_up_flag,diagnostic_steps,evidence_reviewed,customer_action_required,confidence_score
TKT-00095,SP-008,2026-02-20T23:42:09,2026-02-23T10:25:42,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Analytics Dashboard. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Analytics Dashboard health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.8
TKT-00095,SP-008,2026-02-25T12:56:12,2026-02-26T02:42:40,Race condition in background sync job (post-rejection deeper review),Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix. Adjusted based on customer feedback.,Investigated on Analytics Dashboard. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Analytics Dashboard diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.88
TKT-00096,SP-009,2026-03-19T12:00:37,2026-03-20T10:24:03,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.96
TKT-00096,SP-009,2026-03-21T10:55:00,2026-03-21T16:18:52,Misconfigured route on regional gateway (post-rejection deeper review),Apply corrected route table entry and validate user can reach internal hosts. Adjusted based on customer feedback.,Investigated on Customer Portal. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.96
TKT-00098,SP-008,2026-02-26T02:16:09,2026-02-26T21:03:59,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.9
TKT-00099,SP-005,2026-01-24T00:46:21,2026-01-26T07:34:20,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on Inventory App. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Inventory App health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.76
TKT-00100,SP-002,2026-02-23T15:25:59,2026-02-23T22:46:59,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.86
TKT-00102,SP-010,2026-02-04T01:07:39,2026-02-04T08:45:44,Tax engine using stale region cache (post-rejection deeper review),Refresh tax engine cache for affected account; reissue invoice with corrected line items. Adjusted based on customer feedback.,Investigated on Billing System. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Billing System diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.84
TKT-00103,SP-009,2026-02-02T18:23:33,2026-02-02T19:59:41,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.75
TKT-00104,SP-007,2026-02-12T20:37:57,2026-02-13T13:08:42,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
TKT-00106,SP-010,2026-02-26T11:38:34,2026-02-26T18:44:05,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.92
TKT-00106,SP-010,2026-02-27T21:06:22,2026-02-28T08:03:43,Tax engine using stale region cache (post-rejection deeper review),Refresh tax engine cache for affected account; reissue invoice with corrected line items. Adjusted based on customer feedback.,Investigated on Customer Portal. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.82
TKT-00107,SP-002,2026-03-30T11:48:53,2026-03-30T22:02:22,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.81
TKT-00107,SP-002,2026-03-31T14:31:52,2026-03-31T17:23:43,Permission cache out of sync between SSO and target system (post-rejection deeper review),Force a refresh of the user's SSO group membership and clear server-side session cache. Adjusted based on customer feedback.,Investigated on Customer Portal. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.92
TKT-00110,SP-005,2026-01-19T23:14:42,2026-01-21T19:29:18,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.85
TKT-00111,SP-002,2026-01-20T22:30:26,2026-01-21T00:41:32,Permission cache out of sync between SSO and target system (post-rejection deeper review),Force a refresh of the user's SSO group membership and clear server-side session cache. Adjusted based on customer feedback.,Investigated on CRM. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper CRM diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.98
TKT-00112,SP-008,2026-03-30T11:40:55,2026-04-01T17:48:52,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.96
TKT-00113,SP-002,2026-02-25T12:23:53,2026-03-01T15:32:41,Manual access review required for sensitive role,"Open access review, obtain manager and security approval, grant scoped role.",Investigated on Identity Provider. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known security_request patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.84
TKT-00114,SP-009,2026-01-23T09:52:25,2026-01-24T02:30:39,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
TKT-00115,SP-006,2026-02-09T11:19:31,2026-02-10T23:44:47,Manual access review required for sensitive role,"Open access review, obtain manager and security approval, grant scoped role.",Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known security_request patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.89
TKT-00117,SP-002,2026-02-01T03:35:18,2026-02-01T10:27:21,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Identity Provider. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.83
TKT-00118,SP-005,2026-02-21T10:28:14,2026-02-23T03:07:41,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on Analytics Dashboard. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Analytics Dashboard health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.76
TKT-00118,SP-005,2026-02-25T20:59:45,2026-02-26T11:41:10,Warehouse job missed scheduled run (post-rejection deeper review),Manually trigger affected job and adjust scheduler to avoid recurrence. Adjusted based on customer feedback.,Investigated on Analytics Dashboard. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Analytics Dashboard diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.87
TKT-00119,SP-002,2026-03-06T02:06:40,2026-03-06T08:08:01,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.87
TKT-00121,SP-009,2026-01-18T09:29:39,2026-01-18T19:24:45,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.77
TKT-00123,SP-002,2026-03-23T06:09:11,2026-03-23T07:16:08,Stale OAuth token in calendar provider (post-rejection deeper review),Revoke and reissue OAuth token; ask user to reauthorize on device. Adjusted based on customer feedback.,Investigated on Email. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Email diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.94
TKT-00124,SP-004,2026-03-14T20:52:09,2026-03-15T09:26:16,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.8
TKT-00126,SP-010,2026-01-29T13:19:06,2026-01-29T16:47:18,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Billing System. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Billing System health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.89
TKT-00127,SP-006,2026-02-12T10:57:05,2026-02-12T18:19:34,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on CRM. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.84
TKT-00130,SP-006,2026-02-20T20:11:19,2026-02-20T21:11:57,Permission cache out of sync between SSO and target system (post-rejection deeper review),Force a refresh of the user's SSO group membership and clear server-side session cache. Adjusted based on customer feedback.,Investigated on Identity Provider. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Identity Provider diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.95
TKT-00134,SP-008,2026-02-03T12:04:13,2026-02-06T01:52:03,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.75
TKT-00137,SP-007,2026-01-25T12:55:57,2026-01-25T23:16:17,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00138,SP-002,2026-01-20T15:09:31,2026-01-20T21:55:05,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.85
TKT-00139,SP-008,2026-01-21T17:21:25,2026-01-23T19:03:59,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00140,SP-002,2026-02-25T01:08:32,2026-02-25T02:48:25,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.9
TKT-00141,SP-006,2026-01-27T18:46:37,2026-01-27T21:00:42,Edge-case in privileged-account reset workflow (post-rejection deeper review),Run elevated reset workflow with ticket-approval token; confirm sign-in. Adjusted based on customer feedback.,Investigated on Customer Portal. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.92
TKT-00144,SP-007,2026-01-18T16:57:47,2026-01-20T11:51:34,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.83
TKT-00146,SP-005,2026-03-11T15:17:47,2026-03-13T13:16:34,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on Analytics Dashboard. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Analytics Dashboard health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.87
TKT-00147,SP-008,2026-02-11T22:04:12,2026-02-14T13:04:44,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00147,SP-008,2026-02-15T09:34:31,2026-02-16T03:28:14,Race condition in background sync job (post-rejection deeper review),Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix. Adjusted based on customer feedback.,Investigated on Customer Portal. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.97
TKT-00148,SP-007,2026-01-24T18:47:56,2026-01-25T03:29:46,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on Analytics Dashboard. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Analytics Dashboard health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.74
TKT-00153,SP-008,2026-02-21T11:21:48,2026-02-21T18:58:03,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.75
TKT-00154,SP-008,2026-01-17T11:56:56,2026-01-18T16:43:40,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.92
TKT-00155,SP-010,2026-02-28T15:46:03,2026-03-01T06:22:18,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Customer Portal. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.94
TKT-00156,SP-003,2026-01-20T00:16:19,2026-01-21T05:07:21,Driver mismatch with current OS image (post-rejection deeper review),Push updated driver via MDM and confirm device reports healthy. Adjusted based on customer feedback.,Investigated on CRM. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper CRM diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.8
TKT-00157,SP-007,2026-02-15T02:42:27,2026-02-16T10:33:43,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on Analytics Dashboard. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,true,Reviewed ticket symptoms; checked Analytics Dashboard health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.73
TKT-00158,SP-002,2026-03-10T22:41:40,2026-03-11T08:08:39,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.81
TKT-00162,SP-008,2026-01-20T19:31:34,2026-01-22T11:20:43,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Inventory App. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Inventory App health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.76
TKT-00164,SP-006,2026-02-12T21:40:26,2026-02-13T04:41:07,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.77
TKT-00165,SP-005,2026-02-18T16:41:01,2026-02-19T04:15:54,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on Analytics Dashboard. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Analytics Dashboard health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.8
TKT-00167,SP-004,2026-02-10T20:18:40,2026-02-10T23:58:34,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.79
TKT-00168,SP-002,2026-03-31T03:54:25,2026-03-31T11:03:14,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00169,SP-008,2026-02-20T20:41:45,2026-02-22T10:18:38,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Inventory App. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Inventory App health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.83
TKT-00171,SP-010,2026-01-19T18:48:24,2026-01-20T10:03:13,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.87
TKT-00173,SP-006,2026-02-20T00:28:36,2026-02-20T03:13:36,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.75
TKT-00173,SP-006,2026-02-21T08:38:35,2026-02-21T13:29:45,Permission cache out of sync between SSO and target system (post-rejection deeper review),Force a refresh of the user's SSO group membership and clear server-side session cache. Adjusted based on customer feedback.,Investigated on CRM. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper CRM diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.77
TKT-00174,SP-004,2026-03-17T05:23:19,2026-03-17T12:42:55,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00175,SP-006,2026-03-04T03:54:24,2026-03-04T06:40:12,Edge-case in privileged-account reset workflow (post-rejection deeper review),Run elevated reset workflow with ticket-approval token; confirm sign-in. Adjusted based on customer feedback.,Investigated on Identity Provider. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Identity Provider diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.88
TKT-00176,SP-008,2026-03-26T09:15:14,2026-03-30T06:36:40,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.85
TKT-00178,SP-001,2026-02-04T12:27:59,2026-02-05T12:39:05,Driver mismatch with current OS image,Push updated driver via MDM and confirm device reports healthy.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known hardware_issue patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.93
TKT-00179,SP-008,2026-01-19T10:12:32,2026-01-21T08:40:52,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Analytics Dashboard. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Analytics Dashboard health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.8
TKT-00181,SP-006,2026-03-25T09:59:13,2026-03-25T16:57:10,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.93
TKT-00182,SP-010,2026-02-08T18:17:07,2026-02-09T04:37:40,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Billing System. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Billing System health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.86
TKT-00184,SP-010,2026-02-13T18:19:30,2026-02-13T23:04:45,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00185,SP-002,2026-02-05T07:24:26,2026-02-05T13:36:36,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.93
TKT-00186,SP-009,2026-02-28T06:20:30,2026-02-28T11:01:53,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00187,SP-004,2026-02-15T09:11:15,2026-02-15T14:21:14,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.94
